916 897
215 231 550
479 72 641
612 5 945
284 875 94
570 537 388
295 633 595
539 20 -5
656 36 -588
721 246 313
435 419 141
453 457 140
640 226 -490
355 795 607
699 192 960
545 820 -603
244 289 790
755 238 263
735 916 352
785 872 380
527 829 -635
416 709 -937
859 870 152
11 417 154
92 462 250
392 904 -418
879 169 -652
509 495 -180
496 130 68
12 694 418
284 730 -465
867 377 -405
756 482 838
308 797 176
170 831 -73
556 147 771
5 771 -511
640 262 -828
397 877 270
99 652 406
440 292 -958
332 37 44
117 641 53
911 842 796
747 408 794
56 594 586
123 566 680
422 99 -191
502 494 -298
469 300 579
619 467 -575
416 306 -36
702 177 -546
198 407 -225
741 597 -384
4 411 -115
98 317 949
892 506 -842
751 910 472
139 874 699
30 600 598
615 460 -602
222 319 564
774 623 699
756 458 811
552 742 510
3 851 -346
639 271 -89
222 860 -872
57 480 -707
640 535 360
277 914 345
38 860 683
34 171 -159
451 555 901
285 153 -819
36 190 -497
706 348 -454
462 288 753
110 686 652
816 478 91
167 41 944
305 427 -482
362 855 -106
189 214 -656
28 611 -235
130 158 134
673 527 -925
316 661 722
728 888 -945
895 195 218
750 160 -25
744 856 -681
813 535 659
344 698 563
628 592 -815
343 630 317
264 142 739
172 208 583
214 832 374
228 156 -527
412 846 57
272 18 -389
773 499 -630
101 777 221
118 427 -754
819 879 -815
821 6 423
257 7 -726
898 141 442
75 902 208
359 310 -290
55 799 -820
151 16 -130
34 886 903
146 187 323
569 114 -604
361 838 791
752 231 164
440 569 -855
467 481 -969
610 96 840
516 449 742
66 694 -66
643 197 246
759 59 742
609 43 181
218 806 -656
908 635 -974
461 163 849
411 613 65
850 916 -722
885 309 -782
738 333 184
149 180 -381
117 415 -257
825 770 -179
449 724 -582
386 215 -125
134 639 950
244 868 950
607 417 979
784 772 340
907 562 598
137 71 -896
284 477 717
202 233 586
884 315 -992
494 699 -357
888 613 62
328 343 -169
181 732 -799
851 32 -161
812 511 628
118 135 -600
136 494 -839
439 553 177
418 714 682
845 286 531
320 75 -24
638 408 -570
691 485 -891
316 382 979
723 428 306
717 199 379
267 691 -136
374 799 -533
348 547 728
876 891 -835
747 816 609
661 181 -1
540 99 -437
894 60 807
587 886 33
197 433 -349
465 678 -223
785 602 -876
126 833 313
515 831 -425
472 810 325
94 887 -674
525 255 -512
352 731 -998
729 425 -51
563 297 -324
791 823 267
851 773 737
547 845 -389
438 160 199
518 200 621
570 496 -823
273 554 -189
213 36 18
13 597 -478
159 88 -775
722 182 -604
646 112 24
564 665 980
434 210 -624
911 796 -529
806 118 -59
285 201 -924
258 121 -836
111 329 -973
8 254 -117
576 812 -738
838 564 -844
898 390 911
756 30 -654
814 438 -155
634 120 -826
446 621 649
697 355 392
893 396 337
763 574 380
879 563 819
277 362 561
254 224 -251
206 869 801
179 563 559
361 417 -771
509 491 384
166 177 -752
910 363 -778
360 533 268
239 511 908
619 540 -507
382 477 53
798 161 -96
856 269 -34
384 542 565
382 630 -84
433 174 -975
89 505 965
602 504 -562
288 403 115
549 330 -515
290 424 -328
850 139 -426
467 904 -369
340 291 -616
788 117 -763
708 434 -531
610 658 563
851 658 983
439 458 -410
855 207 -560
16 92 685
642 183 -949
508 769 -303
626 316 -660
457 183 -262
683 76 -173
503 288 658
372 506 872
197 158 356
117 634 -259
290 489 -100
786 833 -24
697 441 -711
604 133 -83
495 472 416
361 891 596
98 305 95
646 393 582
740 112 296
736 412 -64
832 777 -683
629 223 -325
242 750 -468
799 605 -433
26 564 -562
170 93 -702
75 287 -558
889 722 565
53 465 396
239 259 -867
469 149 -902
120 815 -660
178 102 713
586 653 283
698 214 -400
571 780 -576
797 137 18
696 757 135
751 616 308
372 795 742
500 449 994
449 119 930
700 5 -168
873 618 -801
216 47 930
376 181 535
23 232 -514
548 191 -453
744 25 -864
200 214 90
758 594 -415
620 386 -208
594 836 -259
723 518 148
21 574 954
105 370 512
382 161 727
428 254 939
715 326 753
561 280 -92
377 592 802
111 757 -923
619 317 948
830 878 -178
475 101 81
845 454 195
278 895 354
81 287 731
800 519 437
37 233 -652
603 808 -77
123 609 -44
711 49 -333
543 200 -390
256 279 771
303 686 720
518 765 278
649 372 239
405 7 -141
600 195 -456
141 820 -478
124 741 -756
187 433 588
397 449 -424
365 321 -562
279 780 -502
7 204 625
383 735 326
751 247 -127
193 435 245
611 364 118
117 360 -194
859 23 826
384 56 817
231 560 480
871 551 -550
278 666 7
104 248 682
322 144 111
352 38 -595
586 631 686
893 518 -115
495 771 -980
601 795 527
354 587 -528
841 575 -992
775 110 -53
553 772 -504
801 504 327
685 774 816
23 357 -271
228 448 -728
837 360 368
741 334 -508
495 201 952
443 714 200
106 743 -472
671 867 335
40 452 -825
320 468 -650
78 898 -305
608 853 393
98 21 -42
773 811 877
804 615 -510
546 39 955
694 400 -149
140 264 90
91 581 -72
319 630 -61
253 742 240
890 863 734
780 748 251
27 153 429
33 868 -755
18 378 -747
778 803 -963
645 907 411
719 781 -592
40 718 184
851 173 -233
274 580 -630
412 210 599
618 800 709
811 138 556
806 642 -5
236 773 643
97 734 492
587 210 -8
41 676 513
653 372 -977
130 628 -493
563 48 -397
709 423 -366
520 451 -90
50 859 537
610 550 535
716 17 75
521 680 -530
634 809 -538
763 473 -48
437 95 225
871 207 -967
204 413 356
147 424 276
510 195 511
569 573 763
235 732 -748
340 212 955
523 800 -127
682 539 -996
109 198 -97
211 377 819
886 557 139
374 150 -33
468 708 621
515 637 -41
408 798 -41
340 598 119
722 599 -310
416 833 664
867 488 -244
646 269 597
138 153 625
547 439 808
457 643 934
217 1 -202
137 205 43
301 694 -82
886 297 -206
126 639 -373
794 537 -698
884 1 32
262 716 -224
432 250 296
99 95 58
161 854 530
67 532 -516
