17
822 1934
714 318 167
93 696 984
36 37 534
496 155 410
794 386 901
303 751 235
273 583 101
484 660 170
284 151 919
795 10 844
781 746 849
97 145 143
129 586 948
749 702 569
266 5 135
722 246 797
604 112 35
694 545 369
326 410 918
724 358 854
382 31 240
359 807 641
392 658 266
297 614 246
697 188 395
718 41 617
27 679 503
270 198 316
80 185 274
748 230 286
242 105 24
141 632 634
285 723 209
582 612 658
708 617 250
431 96 816
703 72 357
249 380 772
592 373 50
574 661 25
367 465 357
585 415 550
138 693 166
710 120 851
74 444 489
470 574 918
744 449 396
771 356 219
280 711 32
336 806 420
76 747 998
351 446 93
520 246 752
712 451 914
596 228 400
328 602 436
25 715 11
635 761 565
446 3 596
724 149 386
681 734 42
499 10 456
562 181 276
198 732 606
671 378 199
373 472 209
478 225 500
768 268 83
557 702 450
413 68 602
703 481 308
173 190 469
599 476 724
543 581 485
261 298 12
482 234 594
534 402 793
692 775 795
687 200 653
261 433 323
563 552 412
711 258 488
464 169 625
403 72 519
56 374 510
605 260 506
726 542 500
349 153 491
38 176 403
156 284 876
466 417 407
59 212 50
772 579 682
670 110 1000
569 27 694
527 676 925
718 39 419
358 812 256
476 678 229
491 671 823
668 180 990
419 243 452
752 582 65
204 718 389
375 817 934
7 615 233
108 400 318
663 369 341
609 297 457
174 614 75
156 38 699
24 159 759
423 545 710
21 191 557
821 599 920
795 208 765
65 724 269
339 815 853
419 546 281
226 35 768
518 244 298
817 650 830
531 591 859
648 781 569
186 454 405
588 627 343
482 198 448
286 501 453
598 625 978
414 514 976
732 606 711
45 247 28
133 89 904
138 409 179
369 472 280
504 424 585
248 582 147
412 725 989
228 366 83
61 252 385
214 493 740
655 573 187
285 486 779
77 44 323
27 292 215
373 117 53
136 387 178
683 308 703
784 339 989
769 647 616
797 516 98
521 418 15
478 278 465
401 564 132
388 642 788
707 56 551
198 272 537
555 653 601
276 393 188
799 372 711
416 168 700
374 716 218
466 691 154
108 441 119
566 582 235
709 327 59
318 268 593
357 210 635
181 737 328
773 376 853
401 286 10
769 416 985
38 467 713
124 620 327
817 375 292
698 734 700
42 527 442
544 635 139
485 579 383
756 411 598
786 512 450
424 391 315
180 768 163
337 783 964
14 164 992
724 200 854
298 451 280
177 470 573
708 241 644
5 537 314
245 287 11
129 264 552
214 748 214
364 652 489
282 309 363
746 413 678
122 79 96
327 6 376
444 166 224
733 281 539
803 517 886
456 397 930
412 162 102
81 695 285
328 217 641
636 798 724
332 817 907
722 76 591
751 319 573
475 649 819
381 145 76
611 748 839
49 246 126
215 232 42
767 702 345
492 332 663
275 512 308
539 225 12
566 817 669
15 754 670
22 8 396
727 128 599
173 274 240
513 151 739
185 684 193
295 533 768
546 124 388
796 523 266
106 119 536
629 693 126
678 163 325
84 755 733
722 393 858
94 55 544
547 820 266
496 121 965
822 293 718
19 58 66
636 8 958
770 103 579
324 409 6
376 427 77
751 262 156
795 809 165
386 711 729
120 154 686
105 344 47
455 49 599
175 506 799
100 487 181
185 283 877
398 318 947
243 378 392
182 283 534
393 339 450
412 226 115
326 615 138
709 55 630
392 361 118
436 463 640
584 89 144
589 804 416
779 717 802
771 783 162
549 605 351
738 779 435
572 725 310
169 440 44
