834 2747
600 9 602
684 332 189
409 245 905
650 55 84
149 192 91
16 342 788
666 713 650
594 725 568
830 359 346
100 170 56
63 443 465
465 484 596
703 784 683
309 221 959
809 568 613
34 743 408
512 570 790
474 42 629
32 627 64
313 411 443
79 171 663
632 607 486
196 253 122
36 113 618
209 747 553
34 423 732
125 431 238
220 463 79
769 448 952
336 39 535
244 56 588
267 97 779
832 230 386
176 515 727
365 459 803
185 38 323
259 793 89
603 238 258
419 17 764
76 585 125
97 701 691
581 470 111
615 243 880
623 353 353
96 49 225
801 253 313
549 538 278
498 127 622
87 244 583
662 555 105
97 244 237
487 611 348
423 818 790
273 372 403
175 302 232
731 245 267
199 210 354
47 415 968
654 550 508
724 41 763
184 509 22
413 165 241
531 263 519
41 246 625
32 556 749
164 317 23
693 663 761
168 798 543
549 626 635
135 216 202
577 52 315
255 707 44
809 634 194
605 393 209
806 627 165
185 507 174
629 149 334
610 62 344
703 212 428
782 137 960
456 318 876
119 297 520
527 540 33
162 608 371
219 675 458
659 672 790
411 241 556
54 458 182
544 451 182
26 281 45
566 790 465
737 433 737
404 59 465
757 245 726
807 697 93
262 268 323
421 531 878
828 677 701
487 323 477
661 499 516
346 562 719
829 524 227
174 588 619
231 616 73
591 607 315
221 240 263
474 248 570
149 715 71
630 772 407
30 27 224
272 471 17
46 210 308
640 36 418
403 195 342
555 293 579
83 490 915
812 91 883
56 661 919
536 5 862
700 699 928
832 234 787
754 797 880
443 656 120
819 596 227
779 36 576
159 744 509
518 95 409
391 62 4
320 250 182
320 522 685
683 35 227
321 541 546
450 795 871
572 484 744
305 70 698
722 455 492
90 722 355
34 265 929
605 463 60
411 483 191
792 428 367
426 420 664
587 381 483
495 419 402
606 187 635
383 205 598
573 736 630
538 243 155
374 22 495
336 342 303
545 560 611
282 582 696
283 571 143
808 664 726
99 711 286
351 16 438
48 292 273
561 137 112
272 566 432
223 499 817
675 385 95
149 613 735
71 224 272
535 151 824
561 631 419
30 639 282
317 246 832
642 331 223
97 279 137
455 528 389
85 533 550
507 642 566
762 596 978
92 440 291
150 488 557
21 534 74
768 755 769
143 775 72
578 757 538
751 290 977
537 684 363
226 419 643
222 61 965
310 402 752
258 697 226
278 262 168
546 441 672
722 398 408
542 710 538
253 151 714
37 153 774
516 749 799
617 152 201
616 405 832
106 238 190
636 670 660
202 370 905
630 514 660
240 287 992
512 68 242
781 167 39
769 445 914
317 769 279
529 213 508
409 679 143
123 217 683
623 229 717
793 548 102
542 414 924
57 71 557
53 178 721
689 135 711
627 145 488
666 483 944
609 216 553
140 511 540
424 73 28
352 332 483
488 162 596
518 612 558
353 222 548
433 585 101
246 69 421
545 588 505
377 516 787
401 382 223
776 513 72
165 551 413
19 390 649
762 428 116
101 486 516
789 200 430
650 85 828
717 430 476
202 591 649
452 168 406
393 316 679
667 89 416
129 30 850
729 739 980
74 810 98
178 48 445
32 479 561
762 706 352
811 509 82
292 641 828
803 832 925
487 411 457
46 341 485
537 565 223
285 62 520
832 2 490
67 761 318
808 304 408
238 429 525
112 694 921
227 182 650
569 584 682
344 434 761
20 331 533
434 94 86
212 596 842
578 774 454
583 171 223
276 544 435
222 201 943
337 664 366
554 640 726
298 787 990
414 558 970
133 186 356
338 43 47
60 619 335
702 334 647
511 202 564
297 159 516
435 87 552
172 482 128
567 732 74
170 655 838
9 509 983
340 303 412
727 160 236
233 616 895
807 551 792
591 611 131
37 294 740
162 775 672
144 811 205
821 375 532
135 411 207
465 287 767
542 504 416
400 71 824
249 8 183
320 627 704
529 776 314
389 149 830
228 321 54
605 360 914
833 401 745
390 29 540
804 767 386
400 451 108
14 66 589
592 545 79
596 712 101
199 697 854
619 256 907
633 485 330
133 125 20
363 653 689
236 390 158
440 261 103
645 490 70
828 673 765
797 435 836
256 684 916
52 471 158
568 283 700
526 651 53
166 781 367
160 31 748
