17
818 975
439 63 582
289 739 750
750 242 -81
19 736 655
242 697 -870
90 796 -982
316 737 -442
430 272 976
745 250 720
470 632 805
316 257 -623
674 584 828
350 121 -294
609 297 726
791 147 72
627 360 747
114 707 390
774 368 -456
676 535 -374
5 178 847
554 466 -985
619 742 517
177 95 -719
395 272 127
568 100 -730
477 366 284
200 767 -913
481 312 202
398 693 -455
632 816 -727
313 631 -989
427 783 -219
546 180 839
692 341 657
175 553 625
414 180 890
115 745 -911
627 141 -656
252 196 78
766 676 361
378 267 -922
280 520 -26
402 772 385
817 630 -185
471 295 -560
688 300 -61
358 344 934
85 608 472
419 725 663
738 521 668
538 717 -63
105 4 283
572 11 733
352 391 135
754 342 628
479 295 -857
477 165 -131
4 335 -591
794 322 -82
475 413 746
105 136 -502
389 782 191
814 232 87
585 681 12
399 445 -420
519 191 -678
379 646 -955
169 181 -738
578 242 658
477 281 245
602 159 95
413 572 481
456 614 -237
224 61 393
63 374 22
391 465 873
579 82 347
14 68 528
742 621 -386
350 71 -472
383 761 614
714 460 526
490 631 366
806 420 -520
736 443 353
34 386 781
333 696 790
126 613 -158
474 724 -38
24 558 202
244 737 -815
155 8 811
503 281 517
116 668 794
293 151 621
161 504 -494
166 560 -994
749 299 -360
264 553 708
260 527 73
780 347 -162
193 247 692
387 44 26
233 207 761
350 89 123
17 764 57
355 683 -132
286 585 -600
272 23 -89
777 212 -359
349 288 914
353 608 -839
60 606 -965
285 692 -395
360 116 -397
453 50 -112
770 315 479
178 326 720
653 812 -281
182 575 407
232 595 472
691 303 -43
573 508 -640
421 715 210
773 359 384
789 625 508
625 537 -761
146 477 954
811 102 -168
170 735 8
361 217 802
479 161 554
740 290 274
285 194 399
20 476 584
422 466 593
126 307 955
725 463 686
413 135 647
61 816 -319
217 626 -75
414 518 -359
466 357 520
211 182 89
597 750 -370
146 85 -607
441 454 957
429 688 681
214 429 -648
239 598 785
471 507 -785
261 292 954
31 86 -711
178 662 533
542 92 515
22 66 27
304 455 -641
231 601 672
316 382 407
402 787 337
114 338 793
249 658 457
333 243 -357
10 814 -240
40 636 200
799 555 245
445 270 -213
717 566 965
260 608 -937
179 342 -74
472 748 247
28 595 557
602 22 978
306 446 -560
288 449 -118
669 99 594
615 167 -66
61 473 288
43 808 851
212 495 336
372 405 -434
322 247 -16
120 106 196
144 532 -455
555 404 -571
236 413 0
50 184 -854
290 150 -68
593 482 -124
749 415 -374
490 686 -904
37 644 687
165 791 -963
289 496 162
81 277 586
587 488 334
146 722 -289
801 460 471
111 390 10
26 428 406
188 415 -678
76 303 -224
441 236 679
273 262 -807
575 316 564
795 752 978
474 445 -613
182 270 -71
6 759 24
259 352 -229
255 360 -507
161 97 -466
549 4 360
815 736 -555
532 387 -935
536 643 -972
504 60 -106
596 365 556
606 353 315
527 127 -167
7 400 635
377 390 10
633 10 -588
312 648 238
582 611 505
341 775 -807
648 43 -818
506 532 -501
508 496 997
259 289 -38
395 150 34
46 544 976
621 85 -127
372 171 -475
770 657 147
113 783 -682
85 499 -924
349 499 -537
108 235 650
817 285 -522
422 561 -49
267 488 534
134 139 506
139 253 115
690 34 -379
732 756 930
52 395 813
627 610 -904
28 764 423
291 267 -559
760 467 169
230 776 -345
387 232 -883
137 19 109
209 340 555
517 526 -686
300 37 569
286 410 159
315 61 604
732 106 -571
693 5 -808
373 183 -65
263 392 -845
24 106 -553
577 79 -553
644 400 -622
550 442 55
214 132 914
308 398 -63
807 262 -1
576 382 906
510 160 872
356 411 246
445 454 677
341 18 -575
140 246 -59
719 365 902
363 194 267
226 774 -945
372 786 270
320 724 470
189 610 313
779 276 222
123 744 686
583 376 584
377 765 609
62 494 561
506 547 380
48 587 -428
462 743 -327
389 45 160
803 606 201
563 706 -429
615 417 -191
157 19 560
507 711 -943
230 810 939
192 582 470
281 728 -280
782 481 -312
744 167 -192
772 50 138
15 632 833
254 429 -13
59 555 326
226 177 427
102 590 176
17 675 950
49 44 286
722 268 554
655 482 957
758 385 -253
459 286 -943
672 816 -703
683 48 -23
728 456 -732
430 397 115
404 139 -365
29 298 679
470 561 460
747 252 351
301 800 588
802 54 471
803 411 908
601 340 -923
634 659 59
270 219 364
535 389 485
163 309 -774
24 495 -834
336 594 46
473 737 379
40 240 339
521 389 -380
110 667 560
484 206 230
404 750 -737
445 214 419
47 144 -282
207 529 989
366 626 -566
225 621 -61
590 29 -655
5 817 275
88 147 710
722 104 -283
141 380 14
696 379 381
455 649 705
744 445 -966
623 574 -757
793 46 983
468 659 -892
594 770 161
745 61 -527
510 186 -378
273 48 -334
512 309 691
613 294 -531
58 553 -667
439 543 -927
516 102 -874
662 584 -542
803 666 176
643 656 -568
257 148 801
768 341 473
249 308 -252
350 508 333
196 7 995
447 456 -907
2 85 912
575 576 -756
787 722 -749
501 448 -627
747 419 32
201 502 -268
149 226 849
336 297 -767
706 168 820
51 623 -731
580 691 985
679 382 -954
180 619 -434
332 771 -345
549 88 591
162 339 -92
389 613 -596
44 390 948
209 85 79
805 297 292
407 441 -97
402 300 587
624 269 896
9 334 913
12 214 -83
630 745 505
661 516 -981
548 190 891
680 219 726
656 173 140
286 35 763
544 366 -363
199 768 -757
215 761 -794
560 759 -574
268 46 -949
687 762 111
611 815 404
305 444 -440
653 295 498
610 485 566
123 601 869
711 244 286
647 289 323
309 503 704
764 238 -9
694 352 -387
587 198 -811
89 97 547
805 437 -520
700 790 990
512 40 -293
173 743 118
773 20 303
180 461 -663
752 304 -368
702 334 71
388 409 205
524 700 231
350 662 268
470 815 -222
489 772 -382
209 506 -559
397 145 -296
191 475 823
288 454 -997
64 790 304
147 465 445
179 72 -159
600 191 -151
56 736 721
659 601 548
305 704 592
396 288 -789
709 376 517
808 571 392
457 554 961
665 54 -156
639 801 -378
535 382 416
541 284 612
612 254 -572
240 19 605
222 762 -798
321 668 -502
562 230 61
44 419 265
738 21 871
43 778 -506
436 357 -326
688 677 -148
142 536 -532
398 580 -986
519 348 570
105 679 940
661 446 880
485 203 397
691 40 -283
85 420 747
175 715 -486
585 703 279
399 285 918
328 499 -422
495 764 -681
98 243 -799
801 795 292
265 280 493
370 690 67
257 554 -372
187 289 -252
585 30 -962
396 687 695
167 390 -151
58 515 587
382 676 -861
365 352 21
147 199 785
260 758 266
486 484 255
796 742 249
802 407 -673
160 578 -72
31 273 -368
470 614 -832
172 335 196
22 489 15
125 334 -549
477 661 -457
529 758 -816
214 684 278
113 407 -781
420 305 57
313 426 -644
93 76 -891
25 107 626
25 422 -441
316 766 -917
377 354 209
473 710 946
154 632 176
713 551 -63
750 623 -990
493 454 -460
224 164 -137
458 784 -579
235 280 419
607 684 -13
291 50 192
236 140 -459
427 375 -521
53 520 38
187 460 -453
178 768 -154
335 31 11
147 646 611
691 494 900
298 758 -510
687 133 175
225 86 251
49 245 -649
814 798 453
608 598 290
797 257 -869
279 811 -376
741 798 -717
42 453 -649
810 581 985
596 258 -42
628 816 -423
800 659 85
350 763 718
815 482 -787
578 678 -144
517 541 55
470 793 -386
316 538 -2
454 401 -932
79 175 -956
598 294 206
527 285 670
635 42 21
288 146 -443
504 342 -948
460 355 692
560 713 -26
712 465 495
567 2 -653
399 103 -395
755 193 -558
406 354 79
379 264 496
321 709 -278
688 586 -897
160 301 -308
220 670 82
219 245 -158
804 809 -790
349 802 -831
462 425 -8
427 536 265
686 523 808
371 191 -662
71 759 -724
629 627 281
466 240 637
175 788 -41
807 750 844
581 16 892
346 145 105
566 808 -884
143 253 -536
765 340 -204
89 260 259
569 118 -344
447 290 857
818 565 424
53 97 277
634 521 976
265 424 -970
546 414 -555
227 170 -188
690 689 753
681 452 -389
137 407 -950
655 445 -53
542 398 771
23 153 -562
253 129 -999
48 572 865
209 384 -157
628 323 -394
198 474 360
348 213 710
590 356 272
432 750 -522
322 633 -512
805 94 413
762 417 -245
734 69 676
365 96 862
1 363 756
394 45 944
227 534 411
343 50 -365
59 750 -255
526 207 -135
191 85 531
280 818 818
487 61 -818
92 61 -584
164 228 660
259 397 -179
727 545 -698
642 348 106
413 496 -276
772 29 -248
578 356 894
169 444 331
534 17 898
346 435 722
543 85 -53
306 351 -917
577 752 -957
543 587 610
572 58 722
568 472 -631
540 804 -387
45 490 -469
179 532 -999
714 285 152
49 519 882
764 332 543
519 337 -836
1 579 -997
606 688 637
193 304 -695
706 214 -648
484 412 -454
786 360 -991
147 647 -664
214 250 717
708 244 -43
115 69 -717
121 456 -147
763 139 -844
290 213 150
123 130 -567
442 217 -284
399 451 180
155 7 101
647 543 542
408 102 -973
518 18 46
333 739 -972
250 812 721
278 817 245
551 768 26
567 302 105
581 59 748
117 641 -133
436 393 226
584 748 339
467 703 -798
693 627 581
226 370 319
801 55 -64
690 16 -147
802 452 -399
651 388 783
691 704 746
664 625 593
561 99 -783
218 730 518
553 326 -352
473 83 -350
632 330 -201
270 793 239
605 171 -721
377 605 -543
419 353 729
555 742 -378
287 666 533
294 399 262
27 621 685
340 360 -726
210 671 294
209 96 430
396 684 -979
242 349 210
579 650 381
729 754 -27
90 266 296
236 348 912
112 599 902
541 513 -346
739 767 544
607 497 -761
647 581 727
143 118 -731
588 257 242
378 755 289
636 383 235
576 552 -713
686 533 837
710 769 -729
139 676 680
89 441 -588
551 97 -879
488 807 934
480 375 793
374 482 -213
482 578 -88
293 124 144
117 151 -444
146 644 -91
361 254 806
418 423 -247
267 300 201
770 103 -605
136 133 -714
604 419 -183
310 52 873
609 415 912
401 613 -11
515 313 984
442 580 727
754 594 390
240 284 -505
115 734 -265
528 215 110
219 580 130
315 763 937
688 100 -835
594 611 684
512 200 948
115 214 390
555 627 -498
581 190 620
624 359 -515
535 770 -513
244 57 116
646 32 98
337 731 -471
141 195 -650
574 454 -521
501 654 -941
26 125 -344
776 335 652
437 24 -648
210 383 -744
807 729 -852
337 406 401
284 701 164
587 536 -899
651 140 766
462 139 952
683 485 855
43 246 -469
540 424 121
243 107 -8
498 705 589
420 729 122
505 588 -790
263 778 -339
517 277 339
198 230 562
279 551 149
569 419 294
370 602 -741
174 181 -923
416 628 518
815 271 445
153 644 493
337 231 -894
2 703 160
643 556 514
64 416 -277
57 21 246
668 382 640
401 560 -875
673 572 -645
262 435 -963
