9102 26857
1407 3616 -299
8032 6020 621
7712 4337 296
229 5848 73
7365 8086 -866
4012 8836 77
3361 2073 -747
6468 2873 -13
712 1013 138
7861 1735 528
5918 4067 -243
3756 1421 0
3034 5614 -890
3443 6455 426
1841 8406 -805
4417 5809 764
3814 6897 556
5166 997 -499
1901 5051 -710
4756 8108 599
8041 3231 -856
8661 4205 659
8569 6553 273
1747 8483 -109
4809 519 278
7938 748 242
5271 6722 -636
5563 3635 388
7201 3129 412
6361 8814 -882
5743 4740 185
3875 7832 -699
2369 643 686
6236 5287 733
7222 1455 366
8828 496 -190
831 5548 924
7649 3343 846
6836 3520 935
5314 5961 -702
3965 2761 -202
649 6345 307
7413 1238 59
7958 2915 -859
6537 1033 558
4040 2584 -348
6504 7223 -540
6510 5188 418
5765 2947 -26
8975 793 522
6005 7341 370
2136 2208 -719
6314 1928 -297
7322 2348 -972
7761 4172 77
8265 464 -478
5971 524 923
5568 5683 -712
823 6998 537
5185 6429 284
4634 4247 -320
8946 4752 47
7435 1611 -270
4141 1133 -744
4478 1903 932
9078 5879 219
481 5465 722
7377 2155 720
8452 5632 -969
2938 6310 -924
9040 7181 858
5721 8920 -164
5723 3260 -636
797 6679 871
1775 1777 937
1247 3681 -101
5951 8263 -715
3509 2832 -840
520 5432 59
862 6126 -350
319 8678 -564
3101 2758 -572
1644 4872 -631
7101 1418 -471
5828 7908 -154
3597 9083 372
7528 8061 820
2370 2029 -156
7168 3238 -236
7966 3934 926
5137 668 966
1377 437 -301
2511 1526 -721
4330 7912 918
1470 2662 -310
5267 2162 -94
2159 1615 -419
6389 7045 -214
3301 4519 285
8629 6047 -745
920 4415 -627
369 8979 257
7621 3541 -414
7861 460 319
901 2208 -532
7239 8034 666
57 4056 33
4657 7854 6
4654 4448 -351
2303 5894 284
7204 7067 523
3503 1131 -693
8624 5326 8
3808 7265 10
5141 4625 879
5244 359 -5
8239 4059 742
6408 3733 -188
4822 1491 246
4265 4881 -775
5506 1302 890
4195 6343 274
3149 8691 -802
4487 1245 -909
8798 8848 -837
6965 6299 -150
6247 3086 324
1017 3717 -999
893 8325 352
8346 8512 -453
2197 2996 -546
1489 3644 302
8904 477 51
8700 432 -641
2961 2094 -66
2830 4173 818
2643 5283 -878
3247 2678 -465
8209 3407 135
8844 5418 293
7406 7640 587
8724 1339 522
6148 856 914
312 4491 -99
8182 2744 466
7220 5441 300
7751 9034 -275
6229 1107 993
843 8154 -398
1674 6885 -253
6529 3587 687
8846 8891 -50
181 2722 642
2900 8016 78
